,Name,Calories,Fat,Carb,Fiber,Protein,Sodium
0,Cool Lime Starbucks Refreshers™ Beverage,45.0,0.0,11.0,0.0,0.0,10.0
1,Strawberry Acai Starbucks Refreshers™ Beverage,80.0,0.0,18.0,1.0,0.0,10.0
2,Very Berry Hibiscus Starbucks Refreshers™ Beverage,60.0,0.0,14.0,1.0,0.0,10.0
3,Evolution Fresh™ Organic Ginger Limeade,110.0,0.0,28.0,0.0,0.0,5.0
4,Iced Coffee,0.0,0.0,0.0,0.0,0.0,0.0
5,Iced Espresso Classics NaN Vanilla Latte,130.0,2.5,21.0,0.0,5.0,65.0
6,Iced Espresso Classics NaN Caffe Mocha,140.0,2.5,23.0,0.0,5.0,90.0
7,Iced Espresso Classics NaN Caramel Macchiato,130.0,2.5,21.0,0.0,5.0,65.0
8,Shaken Sweet Tea,80.0,0.0,19.0,0.0,0.0,10.0
9,Tazo® Bottled Berry Blossom White,60.0,0.0,15.0,0.0,0.0,10.0
10,Tazo® Bottled Black Mango,150.0,0.0,38.0,0.0,0.0,15.0
11,Tazo® Bottled Black with Lemon,140.0,0.0,35.0,0.0,0.0,10.0
12,Tazo® Bottled Brambleberry,140.0,0.0,35.0,0.0,0.0,15.0
13,Tazo® Bottled Giant Peach,150.0,0.0,37.0,0.0,0.0,15.0
14,Tazo® Bottled Iced Passion,70.0,0.0,17.0,0.0,0.0,10.0
15,Tazo® Bottled Lemon Ginger,120.0,0.0,31.0,0.0,0.0,10.0
16,Tazo® Bottled Organic Black Lemonade,140.0,0.0,35.0,0.0,0.0,10.0
17,Tazo® Bottled Organic Iced Black Tea,60.0,0.0,15.0,0.0,0.0,10.0
18,Tazo® Bottled Organic Iced Green Tea,120.0,0.0,31.0,0.0,0.0,10.0
19,Tazo® Bottled Plum Pomegranate,140.0,0.0,35.0,0.0,0.0,10.0
20,Tazo® Bottled Tazoberry,150.0,0.0,38.0,0.0,0.0,15.0
21,Tazo® Bottled White Cranberry,140.0,0.0,35.0,0.0,0.0,10.0
22,Teavana® Shaken Iced Black Tea,30.0,0.0,8.0,0.0,0.0,5.0
23,Teavana® Shaken Iced Black Tea Lemonade,70.0,0.0,17.0,0.0,0.0,0.0
24,Teavana® Shaken Iced Green Tea,30.0,0.0,8.0,0.0,0.0,5.0
25,Teavana® Shaken Iced Green Tea Lemonade,70.0,0.0,17.0,0.0,0.0,5.0
26,Teavana® Shaken Iced Passion Tango™ Tea,30.0,0.0,8.0,0.0,0.0,5.0
27,Teavana® Shaken Iced Passion Tango™ Tea Lemonade,90.0,0.0,24.0,0.0,0.0,0.0
28,Teavana® Shaken Iced Peach Green Tea,60.0,0.0,15.0,0.0,0.0,0.0
29,Iced Espresso Classics NaN Vanilla Latte,130.0,2.5,21.0,0.0,5.0,65.0
30,Iced Espresso Classics NaN Caffe Mocha,140.0,2.5,23.0,0.0,5.0,90.0
31,Iced Espresso Classics NaN Caramel Macchiato,130.0,2.5,21.0,0.0,5.0,65.0
32,Starbucks Refreshers™ Raspberry Pomegranate,90.0,0.0,27.0,0.0,0.0,0.0
33,Starbucks Refreshers™ Strawberry Lemonade,90.0,0.0,27.0,0.0,0.0,0.0
34,Starbucks® Doubleshot Protein Dark Chocolate,210.0,2.5,33.0,2.0,20.0,115.0
35,Starbucks® Doubleshot Protein Vanilla,200.0,2.5,34.0,2.0,20.0,120.0
36,Starbucks® Iced Coffee Caramel,60.0,0.0,13.0,0.0,1.0,0.0
37,Starbucks® Iced Coffee Light Sweetened,50.0,0.0,11.0,0.0,1.0,0.0
38,Starbucks® Iced Coffee Unsweetened,10.0,0.0,2.0,0.0,1.0,0.0
39,Tazo® Bottled Berry Blossom White,60.0,0.0,15.0,0.0,0.0,10.0
40,Tazo® Bottled Black Mango,150.0,0.0,38.0,0.0,0.0,15.0
41,Tazo® Bottled Black with Lemon,140.0,0.0,35.0,0.0,0.0,10.0
42,Tazo® Bottled Brambleberry,140.0,0.0,35.0,0.0,0.0,15.0
43,Tazo® Bottled Giant Peach,150.0,0.0,37.0,0.0,0.0,15.0
44,Tazo® Bottled Iced Passion,70.0,0.0,17.0,0.0,0.0,10.0
45,Tazo® Bottled Lemon Ginger,120.0,0.0,31.0,0.0,0.0,10.0
46,Tazo® Bottled Organic Black Lemonade,140.0,0.0,35.0,0.0,0.0,10.0
47,Tazo® Bottled Organic Iced Black Tea,60.0,0.0,15.0,0.0,0.0,10.0
48,Tazo® Bottled Organic Iced Green Tea,120.0,0.0,31.0,0.0,0.0,10.0
49,Tazo® Bottled Plum Pomegranate,140.0,0.0,35.0,0.0,0.0,10.0
50,Tazo® Bottled Tazoberry,150.0,0.0,38.0,0.0,0.0,15.0
51,Tazo® Bottled White Cranberry,140.0,0.0,35.0,0.0,0.0,10.0
52,Blonde Roast,5.0,0.0,0.0,0.0,1.0,10.0
53,Clover® Brewed Coffee,10.0,0.0,0.0,0.0,1.0,10.0
54,Decaf Pike Place® Roast,5.0,0.0,0.0,0.0,1.0,10.0
55,Featured Dark Roast,5.0,0.0,0.0,0.0,1.0,10.0
56,Iced Coffee,5.0,0.0,0.0,0.0,0.0,5.0
57,Nariño 70 Cold Brew,5.0,0.0,0.0,0.0,0.0,15.0
58,Nariño 70 Cold Brew with Milk,0.0,0.0,0.0,0.0,0.0,0.0
59,Nitro Cold Brew,5.0,0.0,0.0,0.0,0.0,10.0
60,Nitro Cold Brew with Sweet Cream,70.0,5.0,5.0,0.0,1.0,20.0
61,Pike Place® Roast,5.0,0.0,0.0,0.0,1.0,10.0
62,Vanilla Sweet Cream Cold Brew,110.0,6.0,14.0,0.0,1.0,25.0
63,Hot Chocolate,320.0,9.0,47.0,4.0,14.0,160.0
64,Starbucks® Signature Hot Chocolate,430.0,26.0,45.0,5.0,12.0,115.0
65,Caffè Latte,190.0,7.0,19.0,0.0,13.0,170.0
66,Caffè Mocha,290.0,8.0,42.0,4.0,13.0,140.0
67,Cappuccino,120.0,4.0,12.0,0.0,8.0,100.0
68,Caramel Macchiato,250.0,7.0,35.0,0.0,10.0,150.0
69,Cinnamon Dolce Latte,260.0,6.0,40.0,0.0,11.0,150.0
70,Coconutmilk Mocha Macchiato,250.0,9.0,32.0,0.0,12.0,180.0
71,Flat White,180.0,7.0,18.0,0.0,12.0,160.0
72,Iced Caffè Latte,130.0,4.5,13.0,0.0,8.0,115.0
73,Iced Caffè Mocha,230.0,6.0,36.0,4.0,9.0,90.0
74,Iced Caramel Macchiato,250.0,7.0,37.0,0.0,10.0,150.0
75,Iced Cinnamon Dolce Latte,200.0,4.0,34.0,0.0,7.0,95.0
76,Iced Coconutmilk Mocha Macchiato,260.0,9.0,34.0,0.0,11.0,180.0
77,Iced Vanilla Latte,190.0,4.0,30.0,0.0,7.0,100.0
78,Iced White Chocolate Mocha,300.0,8.0,47.0,0.0,10.0,190.0
79,Latte Macchiato,190.0,7.0,19.0,0.0,12.0,160.0
80,Latte Macchiato,190.0,7.0,19.0,0.0,12.0,160.0
81,Starbucks Doubleshot® on Ice Beverage,45.0,1.0,5.0,0.0,3.0,40.0
82,Vanilla Latte,250.0,6.0,37.0,0.0,12.0,150.0
83,White Chocolate Mocha,360.0,11.0,53.0,0.0,14.0,240.0
84,Cinnamon Dolce Frappuccino® Blended Coffee,350.0,4.5,64.0,0.0,15.0,0.0
85,Coffee Light Frappuccino® Blended Coffee,110.0,0.0,24.0,0.0,3.0,200.0
86,Mocha Frappuccino® Blended Coffee,280.0,2.5,60.0,2.0,4.0,220.0
87,Mocha Light Frappuccino® Blended Coffee,140.0,0.5,28.0,1.0,4.0,180.0
88,Cinnamon Dolce Crème,200.0,6.0,28.0,0.0,10.0,135.0
89,Vanilla Crème,200.0,6.0,28.0,0.0,10.0,135.0
90,Chocolate Smoothie,320.0,5.0,53.0,8.0,20.0,170.0
91,Strawberry Smoothie,300.0,2.0,60.0,7.0,16.0,130.0
